Hostel Name,Distance,Ratings,Total Reviews,Overall Reviews,Private Dorm,Property,Facilities
St Christopher's Village,- 1.8km from city centre,8.2,-12484,Fabulous,"No Privates Available
-10%
Dorms From
₹3,034
₹2,730","165 Borough High Street, London, England",Linen Included Free WiFi Free Internet Access
Onefam Notting Hill,- 5.5km from city centre,9.7,-2296,Superb,"Privates From
₹18,721
No Dorms Available","63 Prince's Square, London, England",Linen Included Free WiFi Free Internet Access
Urbany Hostel London,- 5.4km from city centre,9.5,-941,Superb,"Privates From
₹14,497
Dorms From
₹2,927","48-49 Princes Square, Paddington, London, England",Linen Included Free WiFi
Generator London,- 3km from city centre,7.6,-7802,Very Good,"Privates From
₹10,424
Dorms From
₹2,530","Compton Place, Off 37 Tavistock Place, WC1, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
NX London Hostel,- 6.1km from city centre,8,-2002,Fabulous,"Privates From
₹11,583
Dorms From
₹2,741","323 New Cross Road, London, England",Free Breakfast Linen Included Towels Included Free WiFi
Safestay London Elephant & Castle,- 1.7km from city centre,7,-5133,Very Good,"Privates From
₹13,421
Dorms From
₹1,883","144-152 Walworth Road, London, England",Linen Included Free WiFi
Palmers Lodge - Swiss Cottage,- 6.5km from city centre,9,-15716,Superb,"No Privates Available
-26%
Dorms From
₹3,759
₹2,782","40 College Crescent, Swiss Cottage, London, England",Linen Included Free WiFi Free Internet Access
Safestay London Kensington Holland Park,- 5.8km from city centre,7,-1668,Very Good,"No Privates Available
Dorms From
₹1,744","Holland Park Ave, Holland Walk, London, England",Linen Included Free WiFi
Clink261,- 3.2km from city centre,8,-420,Fabulous,"No Privates Available
Dorms From
₹2,611","261-265 Grays Inn Road, Kings Cross, London, England",Linen Included Free City Maps Free WiFi
No.8 Willesden Hostel London,- 10km from city centre,6.9,-5100,Good,"Privates From
₹2,637
Dorms From
₹1,214","305 High Rd, Willesden, London, England",Linen Included Free WiFi
Destinations Hostels @ The Gallery,- 1.7km from city centre,9.2,-240,Superb,"No Privates Available
Dorms From
₹5,334","1 Lupus street, Pimlico, London, England",Free Breakfast Linen Included Free City Maps Free WiFi Free Internet Access
Phoenix Hostel,- 4.2km from city centre,7.3,-4455,Very Good,"No Privates Available
-5%
Dorms From
₹1,974
₹1,875","6 Daventry Street, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
Queen Elizabeth Chelsea,- 5.7km from city centre,7.7,-3585,Very Good,"No Privates Available
Dorms From
₹1,883","58 Bagleys Lane, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
No.8 Seven Sisters,- 9km from city centre,5.6,-4071,Fabulous,"No Privates Available
Dorms From
₹1,316","618 Seven Sisters Rd, Seven Sisters, London, England",Linen Included Free WiFi
London Backpackers,- 11.9km from city centre,8,-4526,Superb,"Privates From
₹7,112
Dorms From
₹1,829","8/10 Queens Parade, Queens Road, Hendon Central, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
Hostelle - women only hostel London,- 5.1km from city centre,9,-50,Fabulous,"No Privates Available
Dorms From
₹3,658","458 Bethnal Green road, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
Prime Backpackers Angel,- 3.6km from city centre,8,-808,Very Good,"No Privates Available
Dorms From
₹2,681","333 City Road, 333 City Road, London, England",Linen Included Free City Maps Towels Included Free WiFi Free Internet Access Free City Tour
St Christopher's Hammersmith,- 7.5km from city centre,7.5,-4307,Fabulous,"No Privates Available
-10%
Dorms From
₹2,395
₹2,155","28, Hammersmith Broadway, Hammersmith, London, England",Linen Included Free City Maps Free WiFi Free Internet Access
