Brand Name,Smartphone Name,Color,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URL
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",['Blue Tide'],6 GB RAM , 128 GB ROM,64MP Rear Camera , 16MP Front Camera,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹17,210",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9HACYLB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGMFREBAHZQGY9.SEARCH&ppt=sp&ppn=sp&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",['Pastel Lime'],8 GB RAM , 256 GB ROM,108MP Rear Camera,-,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹21,997",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSDHXFLS&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",['Pastel Lime'],8 GB RAM , 128 GB ROM,108MP Rear Camera,-,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZJA1PMS&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",['Black Dusk'],6 GB RAM , 128 GB ROM,64MP Rear Camera , 16MP Front Camera,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹17,101",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFE2B7VV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGHBZHB7YJT5HF.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",['Chromatic Gray'],8 GB RAM , 256 GB ROM,108MP Rear Camera,-,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹21,999",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAZFCH33&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGZJ45PS4AQ7BA.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)",['Aqua Surge'],8 GB RAM , 128 GB ROM,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,5000 mAh Battery,"₹26,129",https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-128-gb/p/itm95b25bfcca817?pid=MOBGS44DBDZBTUWS&lid=LSTMOBGS44DBDZBTUWSIUEUUI&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGS44DBDZBTUWS.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)",['Grey Shimmer'],12 GB RAM , 256 GB ROM,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,5000 mAh Battery,"₹28,840",https://www.flipkart.com/oneplus-nord-ce3-5g-grey-shimmer-256-gb/p/itm95b25bfcca817?pid=MOBGS452TWGEZXMC&lid=LSTMOBGS452TWGEZXMCEVUXTY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGS452TWGEZXMC.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)",['Aqua Surge'],12 GB RAM , 256 GB ROM,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,5000 mAh Battery,"₹28,978",https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-256-gb/p/itm95b25bfcca817?pid=MOBGS45CEU4ZGYWY&lid=LSTMOBGS45CEU4ZGYWYX0GC8I&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGS45CEU4ZGYWY.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 3 5G (Misty Green, 128 GB)",['Misty Green'],8 GB RAM , 128 GB ROM,50MP Rear Camera,-,17.12 cm (6.74 inch) Display,5000 mAh Battery,"₹32,449",https://www.flipkart.com/oneplus-nord-3-5g-misty-green-128-gb/p/itm5fc87afce35dc?pid=MOBGRKA2GBGGS6QZ&lid=LSTMOBGRKA2GBGGS6QZRM53RO&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGRKA2GBGGS6QZ.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 3 5G (Misty Green, 256 GB)",['Misty Green'],16 GB RAM , 256 GB ROM,50MP Rear Camera,-,17.12 cm (6.74 inch) Display,5000 mAh Battery,"₹37,945",https://www.flipkart.com/oneplus-nord-3-5g-misty-green-256-gb/p/itm5fc87afce35dc?pid=MOBGRK3284RMGYSX&lid=LSTMOBGRK3284RMGYSXOATRXW&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a8d9364d-97de-4c51-a699-2b6e9b6d3fa4.MOBGRK3284RMGYSX.SEARCH&ppt=hp&ppn=homepage&ssid=j1xzmmexgg0000001696002236078&qH=53863d4d978d5074
