Comments,Comment Upvote,Time
"Jesus....please forgive me for all my anger, hate, greed, addictions, and sins... Baptism me in your grace and mercy. Bless those who seek your face. I need you, Jesus. We need you, Jesus!",750,4 years ago
"""He will never change but You must change"" - Amen this really touched me.",2.9K,4 years ago
"Beautiful message:-
1) God has not changed
2) The Word  of God (the Bible) has not changed
3) The way to Salvation has not changed.",827,2 years ago
Jesus Christ is my lord and Savior. I got saved September 20th 2020,37,1 year ago
FATHER GOD THANK YOU FOR WAKING ME UP THIS MORNING AND WATCHING OVER ME AND MY FAMILY IN JESUS NAME AMEN,94,2 years ago
"I sleep in peace. Thank you and may you all find that peace that Jesus gives to us, the peace that surpasses man's understanding. ",34,9 months ago
"This is a powerful and timely message—needed more than ever. The world around us is shifting and changing, but God and His word never change. Hallelujah!",5,1 year ago
Tq Lord for saving a sinner like me through the precious blood of Jesus Christ ,57,1 year ago
"“How can a finite mind like mine, comprehend the infinite, I cannot” such great words",4,7 months ago
I truly love my Lord Jesus Christ ,374,3 years ago
"I find myself sitting in my car,at 3:30 am while everyone sleeps,here I am ...I long to hear God's word .....",62,1 year ago
"Indeed the World is shaking right now, he's the only one that can save us.",2,3 weeks ago
Amen! This is so timeless & so relevant to today & always. Thank you Jesus for your forgiveness & mercy.,1.1K,3 years ago
Hallelujah.Glory Hallelujah to God ️,3,1 month ago
Amen️ fogive me god for all the sins I committed in my life Amen️,4,2 years ago
"Amen. Thank you Jesus for your healing on my niece's skin problem. [Its been with her since age 1, and she's now 5]. ️ we claim, and believe, and receive your healing right now, in Jesus mighty name, amen! ",5,1 year ago
Hallelujah! Glory be to God for our God never change,4,1 year ago
Wonderful !!!! Trust and Praise the Lord,3,1 year ago
"Billy Graham, May the Almighty God be with you forever.",4,4 years ago
Thank you Jesus Christ for your unconditionally Love ️,49,2 years ago
Thank you for sharing this inspirational message. This world could use another Billy Graham. Jesus you are my Lord and Savior.Amen,23,1 year ago
I accept Jesus Christ as my personal saviour hallelujah hallelujah hallelujah!!️️️ Praise God  !!!!!,3,1 month ago
I love the Lord ️,12,1 year ago
I believe and asked Jesus Christ to come into my heart,3,2 years ago
"Thank you Lord for your faithful servant Billy, ""&"" now his son Franklin Graham. Your word IS  true,... the words of an wise man do not die at the grave. ",866,4 years ago
Praise God. Glory to God and his perfect  son. Hallelujah to the Lamb.,3,1 year ago
"Thank you Lord for your unchanging love,. Hallelujah ",9,6 months ago
AMEN ️ In JESUS CHRIST ️ Mighty NAME ️ He's Worthy To Be Praised ,2,4 months ago
He will never change.but you must change.what a word!!!!,8,3 months ago
"If you are alive, there is still time.",10,2 years ago
"""He will never change. But you must change""... Power of God",298,3 years ago
Thank you Merciful Father God For your mercy and Grace towards me️,24,2 years ago
Our dad spoke this way everyday after dinner . So thankful ,2,4 months ago
"Amen , may billy rest in heaven. Thank you Jesus for salvation .",8,9 months ago
Thank GOD for your grace and mercy,3,2 years ago
Am glad and thankful that God does not change. His grace is sufficient,9,2 years ago
THANK YOU JESUS FOR YOUR LOVE AND MERCY  THANK YOU FOR ALWAYS BEING HERE FOR ME  I LOVE YOU LORD JESUS MY KING  MY LORD AND MY SAVIOR ,531,4 years ago
Dear Lord thank you for giving another day and for your grace and Jesus for being our savior so we may get into heaven for your sacrifice. Amen,2,2 months ago
"Señor yo ya tengo Fe, pero por favor aumentala",3,2 years ago
Love  this. I listened to him since I was 13. I am 70 now and can not wait.,3,2 years ago
THANK YOU LORD JESUS FOR SUFFERING SO MUCH AND DYING TO SAVE A SINNER LIKE ME LORD JESUS I WORSHIP AND ADORE AND TRUST YOU ALWAYS AMEN ️🇮🇪,3,5 months ago
"Everything I hear Brother Billy Graham’s sermons my soul trembles, thank you 
Christ! For saving me!",5,2 years ago
“He hasn’t changed to adapt himself to our generation…” POWERFUL! Thank you Jesus Christ The Father in Heaven that you never change!,22,3 years ago
Ameen.Glory to my dear Lord ,1,2 months ago
"Oh Jesus, forgive me! I receive you. Thank you for your grace and mercy  oh Holy Father.  I am not worthy, I am so far from perfect, I struggle daily not to sin but you still love me.  You long to be with me the same as I long to be with my own children.  Thank you for showing me this! Thank you Jesus for your sacrifice   ️  I will never turn my back on that gift you gave me to live selfishly for myself and for the world again.  I was once blind.  Thank you sweet Jesus! Amen.",2,1 year ago
To God be the Glory ,32,2 years ago
"In Jesus I found Peace,Real Happiness,Content....",7,2 years ago
You're really a blessed channel,229,4 years ago
God loves me .each time I am depressed I will look UpTo this️,3,2 years ago
"""God never changes but you must""

You are not waiting on God for change he's waiting on you to depend upon him for change",2,5 months ago
I love Jesus so much,95,3 years ago
What a message I back slided so much since these 7 years and I miss the house of god praying every day before I sleep wake up eat I love u my god I pray for this world and I pray for conviction I don’t want these worldly things they are nothing and I know I’m a dirty rag in your eyes but have mercy on my soul amen ,10,2 years ago
Thank You Lord for your Grace and Mercy,4,2 years ago
"Timely message, the world needs to hear this right now",216,4 years ago
"I'm not going to ask for justice, I'm going to ask for mercy...",2,3 years ago
So POWERFUL!!!  The True Nature of God IS LOVE ️️️️  Thank you for this very powerful message of God’s love for the entire world.  Continue to change me oh Lord ,3,1 year ago
Mercy and Grace is My Prayer to Yeshua.. Amen and Hallelujah Thank you for the Message,2,2 years ago
I ️ & miss Brother Billy. If only we had faith as great as his.,2,1 year ago
"Oh yes God never changes. He is the same yesterday, today and forever more. Amen",2,2 years ago
"Wow! If that message didn't penetrate anyone's heart, they need to listen to it Everyday until it makes them cry hot tears.",25,4 years ago
Thank you Jesus for loving me,2,1 month ago
Thank you Lord for your blessings on me.,2,6 months ago
You are so good to me jesusThank you for your eternal love my jesus,2,3 years ago
Everything is happening what God has promised .,2,2 years ago
"Times change, people change, my attitude and feelings change constantly, everything in this world changes (trends, morals, etc.)
BUT MY GOD NEVER CHANGES
His Word stays the same
His judgment stays the same",1,2 years ago
May Almighty God bless your preaching more and more in the name of our Lord Jesus Christ.,4,3 years ago
It never hurts to watch this everyday.,2,1 year ago
"AMAZING !!!!!  .....    WAUW, ......  Á M A Z I N G  ......   YÉS LORD, I BELIEVE  !!!!!!!!",2,2 years ago
"So happy to be alive. Love my Family I have today! 
Thank you Lord For showing me Love ️ 
Amen",3,2 years ago
Father please Forgive us of all our debts and please revive us and safe pir souls and take us home to you.,12,2 years ago
“How can a finite mind like mine comprehend the infinite?I can not!” Amen.,2,1 year ago
THANK YOU so much JESUS FOR ALWAYS LOVING ME AND IM GOING TO VED TONIGHT KNOWING EVEN IF NO ONE CAN BE WITH ME OR NO ONE LOVED ME BUT I KNOW MY ALMIGHTY GOD LOVES ME IS THE BEST THING EVER I LOVE YOU SO MUCH JESUS AND I LOVE YOU SO MUCH GOD  GLORY TO GOD IN JESUS NAME I PRAY AMEN HALLELUJAH AMEN ️️,137,3 years ago
"Wow!!!!!
This man was amazing with words",2,1 year ago
"God sees you. He hears you. He knows about everything that you’re facing and he says that he is with you. Fear nothing for the Lord walks before you. Pain will come, but he will restore your happiness. He will lift you higher than any obstacle and he will allow your cup to overflow so that you can be a blessing to others. You are fearfully and wonderfully made. Be blessed️",3,1 year ago
Mr.Grahm was a piece of the father himself I believe.what a wonderful human created by God.he has taught many about the word of our father.thank you Billy.,7,1 year ago
"Lord Jesus please help me to remain on this right path and never go back to  my evil ways..... 
I love you Jesus️",5,1 year ago
Thank you God for your Mercy on me ,5,1 year ago
Wow!  Mind blown!  Heart blown! Soul blown!  Life changed forever.  Thank you Billy Graham,5,3 years ago
STAY SAFE EVERYBODY GOD BLESSJESUS CHRIST LOVES YOU,4,2 years ago
Billy Graham is one of God's strongest angels & he will be here to help Jesus guide us the next 1000 years! I've loved Billy Graham every since I can remember & I now know why ,10,2 years ago
That's quite possibly the most beautiful thing I've ever heard.,4,2 years ago
GOD IS KING ,2,6 months ago
Hearts be opened   The world needs this message,12,1 year ago
I receive this message in Jesus name Amen ,5,4 years ago
Thank you Heavenly Lord Jesus for everything that you’ve done for me!! Amen ,1,2 months ago
I pray at this very moment God allows me to turn away from my wicked ways and cast out all the demons. And changes my way of thinking and restores my happiness. And to go home.Amen️,4,1 year ago
Undiluted gospel️,7,2 years ago
"One of the greatest preachers @ home with the Lord!!
We miss you Billy.",2,2 years ago
Thank you LORD.You have touched my heart,5,1 year ago
i love how God uses this preacher and helps me understand the depth of Gods mercy for us! ,21,4 years ago
GOD WAS ALWAYS WITH YOU BROTHER GRHAM AND I THANK GOD FOR SENDING YOU TO TEACH US ALL HIS HOLY WORD AND IT MEANING ️️,3,3 years ago
"Amongst all that has happened, I pray for my family and friends. I know that I need the Lord every hour.",3,6 months ago
Halleluyah.... Sirrr....thanks for your sermons....i believe that u r in heaven ,2,3 years ago
i feel more alive when i listen to the word of God,1,5 months ago
"I dont deserve your love,mercy Lord,,but you gave it to me,knowing I was dirty,sinful,,I see now,,your my love  dear Lord",14,3 years ago
Not only do I need his grace and mercy but i also need his strength to keep going and to help keep me and all who believe on the right path so we can help others to come to know him amen,207,4 years ago
"Amen! Praying all seek our Lord and Savior today. Wonderful video, thank you for sharing ",--,1 hour ago
"AMEN, Thank You for your Mercy, Grace and Billy Graham.",5,1 year ago
Incredible message and it came to me just when I needed it blessed be the name of our LORD Jesus Christ,4,1 year ago
Thank you pastor Graham! You touched my heart as a child!,2,3 years ago
If God can forgive anything; why shouldn’t we!,5,5 months ago
Praise the Lord brother ,37,4 years ago
"Thank You Heavenly Father 
For He is Correct By Your Holy Word
Thank you Family For Your Prayers",1,1 year ago
Pray for me and my family in fighting years of drug addiction and regret I miss my family and struggle financially but I know God can give me the strength I need to keep moving and going regardless of how dark things seem.,1,2 years ago
Praise to the LORD ️,2,1 year ago
I’ve never thought it is so simple: Jesus loves me and you. He truly saves and there is nothing I can do to earn it. No strings attached. Incredible,1,2 years ago
"His legacy will live on. He has inspired me a lot. My life has changed. Praise the Lord.
Billy Graham is one of my greatest motivation.",5,5 months ago
What a powerful message ! ,86,3 years ago
May you rest in peace this sermon helped me to get through a lot of things,1,6 months ago
May everybody be blessed with abundance in Jesus name amen and amen and amen,1,3 weeks ago
Just no words I am in tears thank u jesus,1,2 years ago
This was so powerful and moving,3,2 years ago
I ask God for forgiveness and I want to daily live for His glory..Jesus be the centre of my life now and forever...Amen,5,2 years ago
Glory be to God in the highest.,48,3 years ago
As a child of God my heart aches for my fellow brothers and sister who shall not meet our Heavenly Father : (   Please protect those who know not what they are doing ️️,1,7 months ago
The events of 2020-2021 have shaken the world but they have not shaken God. Share this most powerful message with all those you love & care about but pray for them first to really be touched by it & then receive Him as well. This incredible sermon is decades old but thank God it was recorded. May salvation stories abound worldwide before the time of Jacob's trouble !  John 3:16 Romans 8:1,4,1 year ago
Why do these videos end with me sobbing.....ALWAYS!,2,2 years ago
This brings tears to my eyes,2,2 years ago
"Lord Jesus have mercy on me, forgive me I'm not perfect, heal my thoughts and heart to become more like you, and to follow you more each day! And to believe cast every doubt out of my heart and mind as well as everyone who's watching and listening heal us in Jesus Name Amen.",2,2 years ago
I believe and asked lord Jesus Christ to come into my heart and soul and my life ️️️,86,3 years ago
God help me to live in the way of salvation. Amen,4,1 year ago
"""You can't work your way to heaven. You can't buy your way to heaven. God's love is unchanging"" - so valuable words for our soul.",3,2 years ago
This is a message that never gets old. Like God's Word it stands the test of time.,6,2 years ago
Thank you god for everything I’m grateful that you are my lord and savior thank you for keeping me save thank you for keeping me away from troubled thank you for keeping me strong thank you for keeping me save until this day I love you Jesus Christ almighty god thank you for everything Amen ️️️,4,1 year ago
"""He will be never change but you must change“ Amen. Repent and come to Him truly at such times as this when God has given us the power to overcome the darkest hours in our lives as we fight against,  Corona.",2,2 years ago
God's nature never change..this touched me amen.,108,3 years ago (edited)
I like Billy Graham sermons ,1,6 months ago
"""HE WILL NEVER CHANGE
 BUT YOU
 MUST 
CHANGE""",2,7 days ago
"I couldn't stop blushing while watching this
I felt honoured knowing God loves me",2,2 years ago
My God never changes!  We love You Lord and pray for Your mercy and grace! Amen.,--,3 years ago
Thank you Lord..thank you for the messages....Jesus is always with me....he save as every moment..I really blessed because he is always in my heart....,1,2 years ago
It’s a blessing,8,4 years ago
God is great. God is holy and unchanged. Praise the lord ,1,1 year ago
"Amen, Amen and Amen  ️ Praise God ",1,8 months ago
"This hits me so much.  Makes me feel so emotional    
I hope I can change ",1,1 year ago
Powerful message,3,2 years ago
"Can someone please pray for me I love God and I believe in jesus christ but it seems like i'm 
doubting my faith.I love God so much I love living for him.",3,1 year ago
Yes JESUS you will never change your Love is unconditional Thank you JESUS.,601,4 years ago
"Amen, God will never change. But He can change us Amen .",4,3 years ago
"Wow, Thank you God! Jesus thank you!️ Vary Powerful ️",4,1 year ago
Amen... Praise the Lord.. GLORY TO GOD ,1,1 year ago
Thank you so so much Lord Jesus for your salvation and coming into my heart and saving me... I love you Lord.,1,2 years ago
Thank you GOD for your mercy ,3,2 years ago
Beautiful message!,15,4 years ago
Great feeling of acceptance and love,1,2 years ago
"I accept the work that you’ve done for us on the cross and wiped our sins, thank you lord Jesus Christ️ please hear my prayers and hear those who seek your name! Praise the lord hallelujah️",1,2 years ago
Remember that no person can love or care about you as much as God does.,1,3 years ago
Jesus christ fell my heart with your mercy and grace,3,5 months ago
"Lord Jesus I confess I'am a sinner, I believe you die on the cross for my sin's, was buried, and rose again on the third day, I repent of my sin's, I accept you as my Lord and Savior, I hear your foot step coming, I hear you knocking on my Heart Door, Please come in and be Lord of my Life, amen. Only Jesus knows the cindition of the Heart, Last person to accept Jesus, please hurry, Jesus is waiting for you.",1,2 years ago
Praise the Lord!,24,3 years ago (edited)
This video is too much for me it made me cry tears of joy God is love,1,1 year ago
This honestly changed my life amazing ,2,2 years ago
how i love this video! i pray to God to become a preacher... amen ,1,2 years ago
love this channel feeling bless of listening to Billy Graham.,1,3 years ago
My goodness! I havnt ever heard this explanation. I thank God for giving me Mr. Billy Graham to guide us and lead us to God! May God bless U! Millions of thanks to you for tis wonderful speech of God's identity and kindness. Lord my God!,1,1 year ago
The word of God is always right now and for every Aman...,149,4 years ago
Amen. May the Lord our God continue to inspire you and help us change and follow his path,1,2 years ago
I love you Jesus️,1,2 years ago
Praise the Lord ,1,2 years ago
"Lord I believe in and receive You, in Jesus name I pray Amen",1,2 years ago
Oh how great it is to know that God has our best interests even we fall short of his glory! All have a blessed day! Peace and Blessings!,1,3 years ago
One thing I love about Billy Graham is his ability to speak to ANYbody of anything that's in front of him.  I feel like he's a grandpa to me.  What a good man he was,13,4 years ago
One of the my favourite video ever I heard cso many times️,2,2 years ago
"I am the lord I'm change not God is unchanging in your holiness, not because we deserve it ️️️️ thanks you God for you mercy",2,1 year ago
"Great ChannelTrust the Process, Your Time is Coming Make it a Great Day, Remember the Choice is Yours. Stay blessed everyone!",1,2 years ago
"I am God and I change not!!
That really hit me so hard!!",1,1 year ago
"I have given him so MANY reasons for god to leave me to disown me and yet none of them have changed his mind about me his love is still with me & I can feel it and see it by the way my life has turned around. Lord I’m sorry I did not hear you or listen to you when you were clearly speaking to just me but I’m glad for your patience and understanding, thank you for the people you have brought in my life and for my family who have shown me I’m not alone ",4,2 years ago
This man was truly annointed. He spread the truth with Grace and Love. He didn't water down the gospel but spoke with the conviction of the Holy Spirit. RIP Billy Graham.,14,4 years ago
"GOD BLESS BILLY GRAHAM, IVE WATCHED HIM A LIFE TIME, I LOVE YOU MY LORD, I LOVE YOU JESUS!!!!",3,2 years ago
Amen  he who has a Calling something taht God has Called you to do this is the day to stand up and do what God has called you to do!!,2,4 months ago
The most powerful word of God in our century. God bless him massively️,3,2 years ago
Praise be to God  thanks be to God  yesterday today and tomorrow and forever God is the same Jesus Christ is the way the truth and the life ,2,1 year ago
"AMEN!!!!!!
Hallelujah
GLORY BE TO GOD!!!",1,2 years ago
Amen I believe in the power of God for me to be happy and to get a healthy life and heal my body as well thank you and amen,3,3 years ago
Thank you for this God giving message,2,5 months ago
So blessed... Praise God...,1,4 months ago
Praise the Lord ,1,2 years ago
"The Word of GOD does not change !
We all need His mercy, His grace, and,
His forgiveness !!!",1,1 year ago
Jesus thank you for your infinite love and for your mercy . Forgive us all for we are sinners. God bless everyone reading this and just know that God is with you and will never abandon his children.,1,2 years ago
"TO BE BLESSED WITH EARS , TO BE ABLE TO LISTEN TO THE PREACHINGS OF DR GRAHAM.",3,4 years ago
God is good amen️️,1,3 years ago
"Jesus forgive me and family for all our sins, have mercy on me and the whole of my family, we confess of all sins and we ask for forgiveness. Amen and Amen.",5,2 years ago
Bill Graham… what an amazing preacher he was. Told it like it is. No watering down. Great preacher. Can’t wait to meet him.,2,1 month ago
The word of God is like a sweet honey,1,1 year ago
"Thank you Jesus, I'm forgiven! Obrigado Jesus, sou perdoado!",5,1 year ago
Jesus is Lord ️,20,4 years ago
This day the Lord God borrowed brother Billy's vocal chords. You can feel the raw power. Still watch this now & then to experience that power of God & His word. Nothing better !,1,2 years ago
"The most beautiful gift we could ever get from God is Jesus Christ.
And one of the most beautiful gift we could ever recieve is Billy Graham",3,2 years ago
What A Message! Amen!!!,23,2 years ago
Thank you Jesus for forgiving me of my sin’s. All praise to GOD.,1,2 years ago
"The situation that you are in today 
Will pass and change 
People change their ways
But my God Never changes",4,1 year ago
"Thank u lord you never change. You are Holy make us Holy lord. I need mercy, grace, favour, protection.",650,4 years ago
"Amen all glory to the Holy Father, Holy Son and Holy Spirit.",1,3 years ago
He will never change but you must change.,1,7 months ago
"In every hurdles of life, when it seems like His face is hidden from us,His still voice of peace and victory continue to intercede for us, and His sufficient grace continues to draw me closer to Him turning my darkness into His light through His word hallelujah His promises is ever the same",1,1 year ago
God Bless you and have a Blessed day!,1,2 years ago
"Awesome unchanging GOD we have.
Praise be to the lord JESUS.
AMEN AMEN AMEN ",1,1 year ago
"Amen! Praise God, Thank-you for this blessed word of God",17,4 years ago
"Amen LORD GOD...... I acknowledge that I am a mere sinner saved by Grace and daily in need of a Savior, which is YOU, My LORD and KING ",1,6 months ago
Thank you Jesus ,2,1 month ago
Amen! and Amen! Halleluiah...,1,1 year ago
"Thank you Reverend Graham for being such a faithful servant!! Amen! 
️",1,1 year ago
